Date,ave_vote_metric,num_votes
1932-06-01,0.6507936507936508,63
1932-07-01,0.5483870967741935,31
1932-12-01,0.8823529411764706,17
1933-01-01,0.38461538461538464,26
1933-02-01,0.5636363636363636,55
1933-03-01,0.5217391304347826,23
1933-04-01,0.3043478260869566,46
1933-05-01,0.1111111111111111,45
1933-06-01,0.23404255319148937,47
1934-01-01,0.3125,16
1934-02-01,0.28125,32
1934-03-01,0.25,32
1934-04-01,0.5555555555555555,36
1934-05-01,0.42857142857142855,42
1934-06-01,0.37037037037037035,54
1935-01-01,0.25,20
1935-02-01,0.5,12
1935-03-01,0.5000000000000001,36
1935-04-01,0.40625,32
1935-05-01,0.48,25
1935-06-01,0.40625,32
1935-07-01,0.3333333333333333,45
1935-08-01,0.5245901639344263,61
1936-01-01,0.6666666666666666,15
1936-02-01,0.6842105263157895,19
1936-03-01,0.6,30
1936-04-01,0.36363636363636365,22
1936-05-01,0.5999999999999999,30
1936-06-01,0.576923076923077,26
1937-01-01,0.4444444444444444,9
1937-02-01,0.21052631578947367,19
1937-03-01,0.4,10
1937-04-01,0.47058823529411764,17
1937-05-01,0.35714285714285715,14
1937-06-01,0.3870967741935484,31
1937-07-01,0.45,40
1937-08-01,0.3157894736842105,19
1937-12-01,0.16666666666666666,30
1938-01-01,0.2727272727272727,11
1938-02-01,0.5,16
1938-03-01,0.3225806451612903,31
1938-04-01,0.3333333333333333,27
1938-05-01,0.21739130434782608,23
1938-06-01,0.3235294117647059,34
1939-01-01,0.625,8
1939-02-01,0.36363636363636365,11
1939-03-01,0.32142857142857145,28
1939-04-01,0.1111111111111111,9
1939-05-01,0.35714285714285715,28
1939-06-01,0.36585365853658536,41
1939-07-01,0.3636363636363637,44
1939-08-01,0.0,13
1939-10-01,0.21052631578947367,19
1939-11-01,0.0,7
1940-01-01,0.4444444444444444,9
1940-02-01,0.2608695652173913,23
1940-03-01,0.4090909090909091,44
1940-04-01,0.4878048780487805,41
1940-05-01,0.2926829268292683,41
1940-06-01,0.37777777777777777,45
1940-07-01,0.42857142857142855,7
1940-08-01,0.45454545454545453,33
1940-09-01,0.38461538461538464,26
1940-10-01,0.375,8
1940-11-01,0.0,5
1940-12-01,0.0,2
1941-01-01,0.6666666666666666,6
1941-02-01,0.14285714285714285,7
1941-03-01,0.41379310344827586,29
1941-04-01,0.2,10
1941-05-01,0.2857142857142857,21
1941-06-01,0.6774193548387096,31
1941-07-01,0.5454545454545454,11
1941-08-01,0.38095238095238093,21
1941-10-01,0.6666666666666666,6
1941-11-01,0.625,8
1941-12-01,0.6818181818181818,22
1942-01-01,0.6153846153846154,26
1942-02-01,0.8181818181818182,11
1942-03-01,0.6666666666666666,12
1942-04-01,0.6666666666666666,6
1942-05-01,0.7647058823529411,17
1942-06-01,0.6857142857142857,35
1942-07-01,0.7857142857142857,14
1942-09-01,0.8461538461538461,13
1942-10-01,0.5882352941176471,17
1942-11-01,0.5555555555555556,9
1943-01-01,0.75,4
1943-02-01,0.6923076923076923,13
1943-03-01,0.45,20
1943-04-01,0.2727272727272727,11
1943-05-01,0.42424242424242425,33
1943-06-01,0.43859649122807015,57
1943-07-01,0.6666666666666665,27
1943-09-01,0.6666666666666666,6
1943-10-01,0.42857142857142855,7
1943-11-01,0.3888888888888889,18
1943-12-01,0.6470588235294118,17
1944-01-01,0.4666666666666667,15
1944-02-01,0.4166666666666667,36
1944-03-01,0.6521739130434783,23
1944-04-01,0.8333333333333334,6
1944-05-01,0.5,12
1944-06-01,0.5405405405405406,37
1944-09-01,0.6666666666666666,6
1944-11-01,0.75,4
1944-12-01,0.55,20
1945-01-01,0.25,4
1945-02-01,0.2,15
1945-03-01,0.7199999999999999,25
1945-04-01,0.5263157894736842,19
1945-05-01,0.5714285714285714,21
1945-06-01,0.525,40
1945-07-01,0.36363636363636365,11
